Feature,Id,X,Y
A,1,54522.30468824197,23878.725825551817
A,2,53250.55964810752,27163.77713441988
A,3,15038.682929561592,3186.7723839784444
A,4,30676.998534323626,24235.369740419883
A,5,1245.5058575665778,39029.900885130315
A,6,52922.6417932131,33405.35271092053
A,7,46395.52264664542,59599.267267491596
A,8,1652.3450099112847,44588.34529021759
A,9,38182.19489824475,54811.89767087441
A,10,46769.881316340354,47251.763021549734
A,11,51899.54606046971,48545.695362258695
A,12,43954.40573269635,46371.84791580457
A,13,44541.99419442958,15970.78535274315
A,14,33943.519092300055,13020.664656831284
A,15,378.2601787218054,39240.74924524534
A,16,30923.120102213714,44595.62881289468
A,17,53904.46753721294,58772.14037640656
A,18,13692.904100755659,22105.52627330913
A,19,8327.707078084824,13180.524637549272
A,20,26459.895064394845,6204.293593531263
A,21,36852.38446887904,48656.12435129587
A,22,56171.054293588786,9816.203238392733
A,23,20037.800226458643,58151.97717060963
A,24,229.53300752720284,43223.410691965524
A,25,15366.46754580382,2222.408329391434
A,26,12247.80217491832,47389.188282829055
A,27,54908.820224325165,6689.395352099415
A,28,34174.424140307776,33067.49590165704
A,29,23590.978035567947,47529.30482970841
A,30,30689.87194804083,6901.910076959126
A,31,4068.4394506640497,462.2847258327667
A,32,36200.3605998184,31244.22763695435
A,33,44579.53155015514,31691.475445445474
A,34,6067.2764342821765,31825.46885775865
A,35,13398.673932571932,57079.00301121638
A,36,31893.3601591367,36689.28618152739
A,37,7630.512094813673,39760.60712823007
A,38,55745.412357501315,20950.168952880143
A,39,45082.107337075526,30790.562227213766
A,40,20126.872428629333,24966.175540423337
A,41,5821.466646721489,43873.419174972485
A,42,59322.21761232033,8418.22704689465
A,43,44776.78316911742,53578.93356303828
A,44,13418.735304073969,39565.41534636471
A,45,8351.838461231331,36651.374789264424
A,46,28869.780285692497,37598.0361525183
A,47,56529.140919608515,58114.26876536934
A,48,58897.2737781546,26537.473507101902
A,49,37303.43507791629,37836.48382975028
A,50,33339.75187401153,1534.3610027778154
A,51,2534.3479910772417,59065.37156913372
A,52,50735.88696376955,12693.808716010673
A,53,53427.98609494845,38147.56301781455
A,54,35491.97458194147,57708.82739254166
A,55,59853.437566492015,4247.833388681063
A,56,59915.53198598576,42610.40915896606
A,57,10571.18802513529,19341.32099451575
A,58,14705.65502860273,19845.097725659896
A,59,1196.5930729159124,2094.180654475388
A,60,2174.460872879993,24668.192516369672
A,61,13342.58727883328,24462.66802672279
A,62,44032.496482467905,44493.09484910456
A,63,21881.98001783855,6930.420743006911
A,64,4.577527860794017,11364.64957004845
A,65,47640.69456374962,27268.596741747104
