Feature,Id,X,Y
A,1,28958.338443795492,701.8940694629805
A,2,41588.360867305186,14752.76379303847
A,3,58418.627993467875,44137.0130997561
A,4,32663.240126394656,26753.460322219194
A,5,25621.81761020463,53736.54166371647
A,6,35845.598467447526,1506.0502873075454
A,7,35148.101647118,45224.98872786696
A,8,22906.256879582415,46986.43133473236
A,9,8746.21489184243,49770.17144743328
A,10,37389.273546487464,18765.66066201472
A,11,40237.46207284301,44482.60642170679
A,12,56732.49839801246,2535.967690283978
A,13,28591.04663411148,49406.34847590071
A,14,34105.746596739016,44086.16176069151
A,15,43645.169625076,25509.95039537077
A,16,5564.117285465919,4155.035270737047
A,17,11663.246918347862,33244.79680164377
A,18,49266.347275595814,26587.42853010525
A,19,52504.40587689063,3171.6774494761867
A,20,26535.411946469292,56088.74271010644
A,21,56652.285485241286,48965.03990271574
A,22,19440.944341755498,26619.771285188497
A,23,18686.001734687914,38787.963187078676
A,24,6360.378388405574,23094.810340510987
A,25,23991.990260739305,13589.49490392329
A,26,45628.06908919421,57542.10315217858
A,27,37605.257063395286,20309.5765393041
A,28,47908.994298957674,56256.775430487614
A,29,28033.459308724705,54285.37571539823
A,30,50335.963524497325,6722.509352263985
A,31,54757.02647642423,38336.45884750441
A,32,19726.63223723429,2199.284313851713
A,33,35813.424012460855,6064.791728883858
A,34,48348.939061784455,27870.619550617084
A,35,51463.46404954406,43839.19112482006
A,36,43730.9471444051,55314.86514615001
A,37,31402.45590868645,59742.419100855084
A,38,33913.399546475724,11811.123922472441
A,39,16318.779708211117,8442.70830959887
A,40,31320.6435058571,7611.555579736424
A,41,59817.37316490155,8510.112040342232
A,42,2077.935392774981,57807.841760722564
A,43,43815.39513012786,23131.649050936914
A,44,53130.47139401264,45790.7402024864
A,45,19482.238676691482,16487.829789473337
A,46,36921.82789396744,42547.69266442188
A,47,16635.87024099928,26236.711908732086
A,48,42666.85001829833,164.60377065366183
A,49,47222.31248115306,27610.26414896332
A,50,54406.36736116327,58893.95812203342
A,51,23094.977863459946,6561.386391948274
A,52,49058.46309402224,25022.55105757122
A,53,14775.335711120048,48208.52848441526
A,54,2583.344266152354,31518.20990386437
A,55,36216.30162045268,42508.45341032688
A,56,49156.24298507685,5055.972079575717
A,57,30804.53605537747,11646.292618627525
A,58,16895.09335115563,11520.264020260624
A,59,35927.72258309148,33065.598082258344
A,60,24217.074968214805,37450.74420102688
A,61,17397.69842194883,48369.739297921195
A,62,43300.46999770558,27145.556776574187
A,63,30860.18719864844,11509.544226199623
A,64,1405.6238216655559,34256.82171660657
A,65,45036.71267435284,19730.707415183962
A,66,16961.119594943404,2709.3065988566177
A,67,51234.11438910492,27688.060183873054
A,68,15348.657448218853,44644.30575387387
A,69,5021.941690878968,8942.408853515657
A,70,19222.43752799389,32836.8326803068
A,71,19317.82675631464,39739.22697420426
A,72,19976.223690955136,31655.36431675823
A,73,33335.80686462877,57527.08815648502
A,74,30623.569350834365,54129.41692120292
A,75,18942.3794304381,31107.328708035668
A,76,35884.07606238607,13061.37698453922
A,77,54929.95262280053,30614.99624266387
A,78,52670.849211353736,11365.073506824236
A,79,557.1594277555425,43714.76296809581
A,80,53451.71125070781,50934.674534029655
A,81,12420.377695232713,29454.064804806676
A,82,6109.031904470899,10343.607678709479
A,83,13310.63128969188,13149.31364990254
A,84,6950.39937178072,9544.258281311746
A,85,18174.88621702183,44489.640541401175
A,86,28424.71080955546,24485.337431488937
A,87,30640.60321026551,26726.1969320905
A,88,29875.57385385147,36184.86806963869
A,89,43777.26204144945,17373.671672410914
A,90,8316.282899473144,57292.85119697525
A,91,10858.390764898788,20284.226001084684
